first_fighter,second_fighter,result_1,result_2,date
Mark-Coleman,Gary-Goodridge,Win,Loss,1996-07-13
Don-Frye,Brian-Johnston,Win,Loss,1996-07-13
Gary-Goodridge,John-Campetella,Win,Loss,1996-07-13
Mark-Coleman,Moti-Horenstein,Win,Loss,1996-07-13
Brian-Johnston,Scott-Fielder,Win,Loss,1996-07-13
Don-Frye,Mark-Hall,Win,Loss,1996-07-13
Sam-Adkins,Felix Lee-Mitchell,Win,Loss,1996-07-13
Geza-Kahlman Jr,Dieusel-Berto,Win,Loss,1996-07-13
Mark-Coleman,Julian-Sanchez,Win,,1996-09-21
Mark-Coleman,Brian-Johnston,Win,Loss,1996-09-21
Scott-Ferrozzo,Tank-Abbott,Win,Loss,1996-09-21
Mark-Coleman,Julian-Sanchez,,,1996-09-21
Brian-Johnston,Reza-Nazri,Win,Loss,1996-09-21
Tank-Abbott,Sam-Adkins,Win,Loss,1996-09-21
Jerry-Bohlander,Fabio-Gurgel,Win,Loss,1996-09-21
Scott-Ferrozzo,Sam-Fulton,Win,Loss,1996-09-21
Roberto-Traven,Dave-Berry,Win,Loss,1996-09-21
Don-Frye,Tank-Abbott,Win,Loss,1996-12-08
Don-Frye,Mark-Hall,Win,Loss,1996-12-08
Tank-Abbott,Steve-Nelmark,Win,Loss,1996-12-08
Kimo-Leopoldo,Paul-Varelans,Win,Loss,1996-12-08
Tank-Abbott,Cal-Worsham,Win,Loss,1996-12-08
Don-Frye,Gary-Goodridge,Win,Loss,1996-12-08
Ken-Shamrock,Brian-Johnston,Win,Loss,1996-12-08
Mark-Hall,Felix Lee-Mitchell,Win,Loss,1996-12-08
Steve-Nelmark,Marcus-Bossett,Win,Loss,1996-12-08
Nick-Sanzo,Jackie-Lee,Win,Loss,1997-02-08
Justin-Martin,Eric-Martin,Win,Loss,1997-02-08
Jerry-Bohlander,Rainy-Martinez,Win,Loss,1997-02-08
Yoshiki-Takahashi,Wallid-Ismail,Win,Loss,1997-02-08
Scott-Ferrozzo,Jim-Mullen,Win,Loss,1997-02-08
Tra-Telligman,Vitor-Belfort,Loss,Win,1997-02-08
Jerry-Bohlander,Nick-Sanzo,Win,Loss,1997-02-08
Vitor-Belfort,Scott-Ferrozzo,Win,Loss,1997-02-08
Mark-Coleman,Dan-Severn,Win,Loss,1997-02-08
Randy-Couture,Steven-Graham,Win,Loss,1997-05-31
Guy-Mezger,Tito-Ortiz,Win,Loss,1997-05-31
Vitor-Belfort,Tank-Abbott,Win,Loss,1997-05-31
Steven-Graham,Dmitrei-Stepanov,Win,Loss,1997-05-31
Randy-Couture,Tony-Halme,Win,Loss,1997-05-31
Enson-Inoue,Royce-Alger,Win,Loss,1997-05-31
Guy-Mezger,Christophe-Leininger,Win,Loss,1997-05-31
Jack-Nilsson,Saeed-Hosseini,Win,Loss,1997-05-31
Tito-Ortiz,Wes-Albritton,Win,Loss,1997-05-31
Mark-Kerr,Daniel-Bobish,Win,Loss,1997-07-28
Kevin-Jackson,Tony-Frycklund,Win,Loss,1997-07-28
Maurice-Smith,Mark-Coleman,Win,Loss,1997-07-28
Mark-Kerr,Moti-Horenstein,Win,Loss,1997-07-28
Daniel-Bobish,Brian-Johnston,Win,Loss,1997-07-28
Kevin-Jackson,Todd-Butler,Win,Loss,1997-07-28
Joe-Moriera,Yuri-Vaulin,Win,Loss,1997-07-28
Alex-Hunter,Sam-Fulton,Win,Loss,1997-07-28
Tony-Frycklund,Donnie-Chappell,Win,Loss,1997-07-28
Maurice-Smith,Tank-Abbott,Win,Loss,1997-10-18
Mark-Kerr,Duane-Cason,Win,Loss,1997-10-18
Randy-Couture,Vitor-Belfort,Win,Loss,1997-10-18
Mark-Kerr,Greg-Stott,Win,Loss,1997-10-18
Dave-Beneteau,Carlos-Baretto,Win,Loss,1997-10-18
Duane-Cason,Houston-Dorr,Win,Loss,1997-10-18
Alex-Hunter,Harry-Moskowitz,Win,Loss,1997-10-18
Frank-Shamrock,Igor-Zinoviev,Win,Loss,1998-03-14
Pat-Miletich,Chris-Brennan,Win,Loss,1998-03-14
Tsuyoshi-Kosaka,Kimo-Leopoldo,Win,Loss,1998-03-14
Jerry-Bohlander,Kevin-Jackson,Win,Loss,1998-03-14
Pat-Miletich,Townsend-Saunders,Win,Loss,1998-03-14
Mikey-Burnett,Eugenio-Tadeu,Win,Loss,1998-03-14
Chris-Brennan,Courtney-Turner,Win,Loss,1998-03-14
Laverne-Clark,Josh-Stuart,Win,,1998-03-14
Frank-Shamrock,Jeremy-Horn,Win,Loss,1998-05-16
Pete-Williams,Mark-Coleman,Win,Loss,1998-05-16
Tank-Abbott,Hugo-Duarte,Win,Loss,1998-05-16
Mike-Van Arsdale,Joe-Pardo,Win,Loss,1998-05-16
Andre-Roberts,Harry-Moskowitz,Win,Loss,1998-05-16
Carlos-Newton,Dan-Henderson,Loss,Win,1998-05-16
Dan-Henderson,Allan-Goes,Win,Loss,1998-05-16
Carlos-Newton,Bob-Gilstrap,Win,Loss,1998-05-16
Chuck-Liddell,Noe-Hernandez,Win,Loss,1998-05-16
Frank-Shamrock,John-Lober,Win,Loss,1998-10-17
Pat-Miletich,Mikey-Burnett,Win,Loss,1998-10-17
Pedro-Rizzo,Tank-Abbott,Win,Loss,1998-10-17
Tsuyoshi-Kosaka,Pete-Williams,Win,Loss,1998-10-17
Vitor-Belfort,Wanderlei-Silva,Win,Loss,1998-10-17
Ebenezer-Braga,Jeremy-Horn,Win,Loss,1998-10-17
Cesar-Martucci,Paulo-Santos,,Loss,1998-10-17
Tulio-Palhares,Adriano-Santos,Win,Loss,1998-10-17
Pat-Miletich,Jorge-Patino,Win,Loss,1999-01-09
Bas-Rutten,Tsuyoshi-Kosaka,Win,Loss,1999-01-09
